0	1.000	0.0114	219.4	0.962
15	0.981	0.0118	201.8	0.965
30	0.964	0.0123	187.0	0.968
45	0.947	0.0128	174.9	0.970
60	0.932	0.0133	165.5	0.971
75	0.918	0.0138	158.9	0.973
90	0.906	0.0144	155.1	0.973
105	0.896	0.0149	154.0	0.973
120	0.888	0.0154	155.7	0.973
135	0.882	0.0160	160.1	0.972
150	0.878	0.0166	167.2	0.971
165	0.877	0.0171	177.2	0.969
180	0.878	0.0177	189.8	0.967
195	0.881	0.0183	205.2	0.964
210	0.886	0.0189	223.4	0.961
225	0.893	0.0195	244.3	0.958
240	0.902	0.0201	268.0	0.954
255	0.912	0.0207	294.5	0.949
270	0.924	0.0213	323.6	0.944
285	0.936	0.0219	355.6	0.938
300	0.950	0.0225	390.3	0.932
315	0.965	0.0232	427.7	0.926
330	0.980	0.0238	467.9	0.919
345	0.996	0.0244	510.8	0.911
360	1.012	0.0250	556.5	0.903
