 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56         0.00267       379.394     
     2            57       3.577e-008     7.866e-004   
     3            58       4.171e-009     6.988e-009   
     4            59       4.037e-009     2.158e-011   
     5            60       3.547e-009     1.393e-011   
     6            61       3.383e-009     1.075e-011   
     7            62       3.348e-009     9.657e-012   
     8            63       3.900e-009     9.700e-012   
     9            64       2.555e-009     1.022e-011   
     10           65       3.597e-009     9.636e-012   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       5.980e-004      378.909     
     2            57       1.686e-008     2.137e-004   
     3            58       1.516e-008     3.269e-010   
     4            59       1.395e-008     2.286e-011   
     5            60       1.096e-008     1.129e-011   
     6            61       1.412e-008     1.645e-011   
     7            62       1.459e-008     1.082e-011   
     8            63       1.564e-008     1.393e-011   
     9            64       1.173e-008     1.003e-011   
     10           65       1.081e-008     8.360e-012   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       1.520e-004      378.776     
     2            57       5.800e-008     5.509e-005   
     3            58       4.598e-008     2.757e-011   
     4            59       2.920e-008     1.376e-011   
     5            60       4.542e-008     1.304e-011   
     6            61       2.564e-008     9.408e-012   
     7            62       3.944e-008     7.190e-012   
     8            63       4.629e-008     7.784e-012   
     9            64       3.264e-008     5.824e-012   
     10           65       3.277e-008     6.301e-012   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       4.275e-005      378.742     
     2            57       2.131e-007     1.433e-005   
     3            58       1.677e-007     2.369e-011   
     4            59       1.254e-007     1.123e-011   
     5            60       1.974e-007     1.091e-011   
     6            61       1.082e-007     9.320e-012   
     7            62       1.449e-007     8.818e-012   
     8            63       9.260e-008     5.532e-012   
     9            64       1.519e-007     3.609e-012   
     10           65       1.204e-007     7.555e-012   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       1.548e-005      378.733     
     2            57       8.109e-007     4.119e-006   
     3            58       5.971e-007     1.742e-011   
     4            59       4.367e-007     8.900e-012   
     5            60       4.324e-007     6.185e-012   
     6            61       5.099e-007     1.130e-011   
     7            62       3.159e-007     6.956e-012   
     8            63       9.771e-007     2.266e-011   
     9            64       5.334e-007     1.735e-011   
     10           65       6.386e-007     1.347e-011   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       9.969e-006      378.731     
     2            57       2.040e-006     1.663e-006   
     3            58       2.626e-006     1.512e-011   
     4            59       1.160e-006     9.026e-012   
     5            60       2.227e-006     8.032e-012   
     6            61       1.252e-006     6.791e-012   
     7            62       2.167e-006     6.927e-012   
     8            63       1.639e-006     6.168e-012   
     9            64       1.821e-006     7.262e-012   
     10           65       1.495e-006     5.284e-012   
 Iteration    Func-count       f(x)      Norm of Step
     0            1             0           Start
     1            56       1.822e-005      378.731     
     2            57       1.372e-005     1.132e-006   
     3            58       8.353e-006     1.934e-011   
     4            59       5.520e-006     7.500e-012   
     5            60       3.518e-006     6.971e-012   
     6            61       4.628e-006     3.722e-012   
     7            62       3.518e-006     3.372e-012   
⚠️ Runtime Error: time step is too small
